Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.61,0.31,-14.097437540993187
100% Corpus,8,0.61,0.61,-13.27113478985643
100% Corpus,8,0.61,0.9099999999999999,-13.456101315718529
100% Corpus,8,0.61,symmetric,-14.221268938783087
100% Corpus,8,0.9099999999999999,0.01,-12.881274118219766
100% Corpus,8,0.9099999999999999,0.31,-12.732732105472907
100% Corpus,8,0.9099999999999999,0.61,-13.026072372605299
100% Corpus,8,0.9099999999999999,0.9099999999999999,-12.869413026223066
100% Corpus,8,0.9099999999999999,symmetric,-13.739758014978936
100% Corpus,8,symmetric,0.01,-13.047933753774993
100% Corpus,8,symmetric,0.31,-13.300537765771729
100% Corpus,8,symmetric,0.61,-13.586624541007204
100% Corpus,8,symmetric,0.9099999999999999,-12.943001334964748
100% Corpus,8,symmetric,symmetric,-13.46745473132207
100% Corpus,8,asymmetric,0.01,-11.489622199044044
100% Corpus,8,asymmetric,0.31,-14.30801153194572
100% Corpus,8,asymmetric,0.61,-14.780673907712695
100% Corpus,8,asymmetric,0.9099999999999999,-15.127024518817414
100% Corpus,8,asymmetric,symmetric,-14.722605675977174
100% Corpus,9,0.01,0.01,-13.6770346982402
100% Corpus,9,0.01,0.31,-14.332780814322357
100% Corpus,9,0.01,0.61,-13.902780479352012
100% Corpus,9,0.01,0.9099999999999999,-14.588875331952117
